crt.sh ID,Logged At,Not Before,Not After,Common Name,Matching Identities,Issuer Name
3281792,2014-01-13,2014-01-06,2016-01-06,"plaid.com","plaid.com
www.plaid.com","C=US, ST=Arizona, L=Scottsdale, O=\"Starfield Technologies, Inc.\", OU=http://certificates.starfieldtech.com/repository, CN=Starfield Secure Certification Authority, serialNumber=10688435"
3338470,2014-01-23,2013-12-27,2016-12-27,"*.plaid.com","*.plaid.com
plaid.com","C=US, ST=Arizona, L=Scottsdale, O=\"Starfield Technologies, Inc.\", OU=http://certificates.starfieldtech.com/repository, CN=Starfield Secure Certification Authority, serialNumber=10688435"
3787976,2014-04-11,2014-04-09,2016-12-27,"*.plaid.com","*.plaid.com
plaid.com","C=US, ST=Arizona, L=Scottsdale, O=\"Starfield Technologies, Inc.\", OU=http://certs.starfieldtech.com/repository/, CN=Starfield Secure Certificate Authority - G2"
4849947,2014-08-24,2014-08-21,2016-12-27,"*.plaid.com","*.plaid.com
plaid.com","C=US, ST=Arizona, L=Scottsdale, O=\"Starfield Technologies, Inc.\", OU=http://certs.starfieldtech.com/repository/, CN=Starfield Secure Certificate Authority - G2"
5022334,2014-09-20,2014-09-18,2016-01-06,"plaid.com","plaid.com
www.plaid.com","C=US, ST=Arizona, L=Scottsdale, O=\"Starfield Technologies, Inc.\", OU=http://certs.starfieldtech.com/repository/, CN=Starfield Secure Certificate Authority - G2"
7158631,2015-04-13,2015-04-11,2016-06-14,"*.plaid.com","*.plaid.com
plaid.com","C=US, O=DigiCert Inc, CN=DigiCert SHA2 Secure Server CA"
7180419,2015-04-15,2015-04-15,2016-06-22,"plaid.com","plaid.com
www.plaid.com","C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert SHA2 Extended Validation Server CA"
9135053,2015-09-02,2015-09-02,2016-09-06,"api.plaid.com","api.plaid.com","C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert SHA2 Extended Validation Server CA"
9167767,2015-09-04,2015-09-02,2016-09-06,"api.plaid.com","api.plaid.com","C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert SHA2 Extended Validation Server CA"
17169334,2016-04-23,2016-04-21,2018-07-19,"*.plaid.com","*.plaid.com
plaid.com","C=US, O=DigiCert Inc, CN=DigiCert SHA2 Secure Server CA"
19567155,2016-05-16,2016-05-16,2017-05-24,"dashboard.plaid.com","dashboard.plaid.com
plaid.com
www.plaid.com","C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert SHA2 Extended Validation Server CA"
19753441,2016-05-19,2016-05-16,2017-05-24,"dashboard.plaid.com","dashboard.plaid.com
plaid.com
www.plaid.com","C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert SHA2 Extended Validation Server CA"
